Name,Corner ID,Corner group,Corners,End location,ID,Marking,Player name,Role,Start location
,COR-11,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-TfjSvRrKwts9tKK4-t-494-28bd59bc1567808fa400ffa8a6d990bd?pvs=21),A1,PLYR-1,Stepped in front,Caitlin Foord,Pass target,B3
,COR-11,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-TfjSvRrKwts9tKK4-t-494-28bd59bc1567808fa400ffa8a6d990bd?pvs=21),A3,PLYR-2,Stepped in front,Alessia Russo,Shot target,C4
,COR-11,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-TfjSvRrKwts9tKK4-t-494-28bd59bc1567808fa400ffa8a6d990bd?pvs=21),B3,PLYR-3,Stepped in front,Katie Reid,Shot target,D3
,COR-11,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-TfjSvRrKwts9tKK4-t-494-28bd59bc1567808fa400ffa8a6d990bd?pvs=21),C2,PLYR-4,Stepped in front,Steph Catley,Shot target,E3
,COR-11,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-TfjSvRrKwts9tKK4-t-494-28bd59bc1567808fa400ffa8a6d990bd?pvs=21),D6,PLYR-5,Goal marked,Frida Maanum,Second target,E3
,COR-11,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-TfjSvRrKwts9tKK4-t-494-28bd59bc1567808fa400ffa8a6d990bd?pvs=21),Third C,PLYR-6,Free,Olivia Smith,Mop up,Third C
,COR-11,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-TfjSvRrKwts9tKK4-t-494-28bd59bc1567808fa400ffa8a6d990bd?pvs=21),Third L,PLYR-7,Free,Kim Little,Mop up,Third L
,COR-11,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-TfjSvRrKwts9tKK4-t-494-28bd59bc1567808fa400ffa8a6d990bd?pvs=21),Corner L,PLYR-8,Watched zonally,Katie McCabe,Mop up,Corner L
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),A1,PLYR-9,Stepped in front,Caitlin Foord,Pass target,A3
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),A2,PLYR-10,Front blocking,Katie Reid,Blocker,B3
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),C4,PLYR-11,Goal marked,Frida Maanum,Second target,D4
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),C3,PLYR-12,Stepped in front,Alessia Russo,Shot target,D4
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),D4,PLYR-13,Front blocking,Steph Catley,Blocker,D4
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),E3,PLYR-14,Free,Olivia Smith,Mop up,Third C
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),Third C,PLYR-15,Free,Emily Fox,Mop up,Third C
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),,PLYR-16,Watched zonally,Katie McCabe,Mop up,Corner L
,COR-7,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-kNexKW4H6Q3YDqCh-t-2963-28bd59bc1567809fae39e6ecebd0cd7d?pvs=21),Third C,PLYR-17,Watched zonally,Kim Little,Mop up,Third C
,COR-8,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-d_qx3qdxI2Xo0wBK-t-2986-28bd59bc156780bf8a7ae304c66c0d49?pvs=21),A2,PLYR-18,Front marked,Caitlin Foord,Pass target,A3
,COR-8,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-d_qx3qdxI2Xo0wBK-t-2986-28bd59bc156780bf8a7ae304c66c0d49?pvs=21),B3,PLYR-19,Front blocking 2x,Katie Reid,Blocker,B4
,COR-8,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-d_qx3qdxI2Xo0wBK-t-2986-28bd59bc156780bf8a7ae304c66c0d49?pvs=21),B1,PLYR-20,Freed by blocker,Alessia Russo,Pass target,C4
,COR-8,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-d_qx3qdxI2Xo0wBK-t-2986-28bd59bc156780bf8a7ae304c66c0d49?pvs=21),B4,PLYR-21,Goal marked,Frida Maanum,Second target,C4
,COR-8,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-d_qx3qdxI2Xo0wBK-t-2986-28bd59bc156780bf8a7ae304c66c0d49?pvs=21),B2,PLYR-22,Front blocking 2x,Steph Catley,Blocker,C4
,COR-8,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-d_qx3qdxI2Xo0wBK-t-2986-28bd59bc156780bf8a7ae304c66c0d49?pvs=21),Third C,PLYR-23,Free,Olivia Smith,Mop up,Third C
,COR-8,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-d_qx3qdxI2Xo0wBK-t-2986-28bd59bc156780bf8a7ae304c66c0d49?pvs=21),Third C,PLYR-24,Free,Emily Fox,Mop up,Third C
,COR-8,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-d_qx3qdxI2Xo0wBK-t-2986-28bd59bc156780bf8a7ae304c66c0d49?pvs=21),Corner L,PLYR-25,Watched zonally,Katie McCabe,Mop up,Corner L
,COR-4,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-4kHDcPTIZx2TWe3S-t-4420-28bd59bc15678080ac15e3c42a73c0cf?pvs=21),A1,PLYR-26,Goal marked,Caitlin Foord,Pass target,A3
,COR-4,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-4kHDcPTIZx2TWe3S-t-4420-28bd59bc15678080ac15e3c42a73c0cf?pvs=21),B2,PLYR-27,Front blocking 2x,Katie Reid,Second target,B4
,COR-4,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-4kHDcPTIZx2TWe3S-t-4420-28bd59bc15678080ac15e3c42a73c0cf?pvs=21),D3,PLYR-28,Front blocking,Alessia Russo,Blocker,D4
,COR-4,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-4kHDcPTIZx2TWe3S-t-4420-28bd59bc15678080ac15e3c42a73c0cf?pvs=21),C2,PLYR-29,Front marked,Steph Catley,Shot target,E5
,COR-4,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-4kHDcPTIZx2TWe3S-t-4420-28bd59bc15678080ac15e3c42a73c0cf?pvs=21),C4,PLYR-30,Goal marked,Stina Blackstenius,Second target,E5
,COR-4,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-4kHDcPTIZx2TWe3S-t-4420-28bd59bc15678080ac15e3c42a73c0cf?pvs=21),E3,PLYR-31,Free,Beth Mead,Mop up,Third C
,COR-4,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-4kHDcPTIZx2TWe3S-t-4420-28bd59bc15678080ac15e3c42a73c0cf?pvs=21),E1,PLYR-32,Watched zonally,Kim Little,Mop up,Third L
,COR-4,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-4kHDcPTIZx2TWe3S-t-4420-28bd59bc15678080ac15e3c42a73c0cf?pvs=21),Corner L,PLYR-33,Watched zonally,Katie McCabe,Mop up,Corner L
,COR-2,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=uwwEjjbA3R2yT1el&t=5582 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-uwwEjjbA3R2yT1el-t-5582-28bd59bc156780adbc77d1d5665c874d?pvs=21),A2,PLYR-34,Stepped in front,Beth Mead,Pass target,A2
,COR-2,Left front post,https://www.youtube.com/live/ybQDwsrwIfg?si=uwwEjjbA3R2yT1el&t=5582 (https://www.notion.so/https-www-youtube-com-live-ybQDwsrwIfg-si-uwwEjjbA3R2yT1el-t-5582-28bd59bc156780adbc77d1d5665c874d?pvs=21),A2,PLYR-35,Front blocking 2x,Katie Reid,Blocker,C3
